ID,eta,Sesso,alloggio_pendolare,tempo_libero,pranzo,studiare,fuori
107,21,Femmina,Faccio il pendolare,"Praticare Sport, Leggere libri, Leggere fumetti, Guardare serie TV, film o anime",144 73 138 174 182,144 73 138,144 73 138 174 182
144,20,Femmina,Faccio il pendolare,"Programmare, Giocare ai Videgames, Praticare Sport, Leggere libri, Guardare serie TV, film o anime",107 73 138 174 182 ,107 73 138,107 73 138 174 182
136,20,Maschio,Faccio il pendolare,"Uscire, Guardare serie TV, film o anime",,,
160,19,Maschio,Faccio il pendolare,Praticare Sport,133 195 155,133 195 155,133 88 155
138,20,Femmina,Faccio il pendolare,"Giocare ai Videgames, Leggere libri, Guardare serie TV, film o anime",144 107 73 182,144 107 73,144 107 73 174 182
215,23,Maschio,Alloggio a Perugia,"Guardare serie TV, film o anime",134 185 83 149 114 82 115,134 185 83 149 114 82 115,134 185 83 149 114 82 115
152,20,Maschio,Alloggio a Perugia,"Giocare ai Videgames, Pianoforte",,,
191,20,Femmina,Alloggio a Perugia,"Leggere libri, Guardare serie TV, film o anime",,,
178,20,Femmina,Faccio il pendolare,Shopping,155 180,180,180
145,20,Maschio,Alloggio a Perugia,"Praticare Sport, Uscire, Leggere libri, Guardare serie TV, film o anime",,,
185,20,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Praticare Sport, Leggere fumetti, Guardare serie TV, film o anime",134 215 90 115 149 69 114,134 215 83 90 212 175 115 149 82 69 114,134 215 90 212 175 115 149 69 114
110,21,Maschio,Alloggio a Perugia,"Praticare Sport, Uscire, Guardare serie TV, film o anime",195,,
111,20,Maschio,Alloggio a Perugia,"Praticare Sport, Uscire",200 197 115,197 200,200 197
164,20,Femmina,Alloggio a Perugia,"Giocare ai Videgames, Leggere libri, Leggere fumetti, Guardare serie TV, film o anime",99 211,99 107 211,99 211 
197,19,Maschio,Alloggio a Perugia,"Praticare Sport, Uscire, Guardare serie TV, film o anime",111 200 115,111 200 115,111 200
73,20,Maschio,Alloggio a Perugia,"Giocare ai Videgames, Uscire, Guardare serie TV, film o anime",144 107 138 116 174 182,144 107 138 182,182 144 
99,23,Maschio,Faccio il pendolare,"Programmare, Giocare ai Videgames, Guardare serie TV, film o anime",164 211 120,164,164 211 120
115,20,Femmina,Alloggio a Perugia,"Giocare ai Videgames, Uscire, Guardare serie TV, film o anime",134 215 185 83 149 114 82 ,134 215 185 83 149 114 82 197,134 215 185 83 149 114 82 197
200,20,Maschio,Alloggio a Perugia,"Giocare ai Videgames, Leggere fumetti, Guardare serie TV, film o anime",197 111 ,197 111,197 111
69,22,Maschio,Alloggio a Perugia,"Programmare, Giocare ai Videgames, Praticare Sport, Uscire, Leggere libri, Leggere fumetti, Guardare serie TV, film o anime",134 215 185 90 115 149 114 82 ,134 215 185 90 115 149 114 82 175,134 215 185 90 115 149 114 82 175
212,20,Maschio,Faccio il pendolare,"Giocare ai Videgames, Uscire, Guardare serie TV, film o anime",83 90 175 114,134 69 215 83 90 175 115 149 114 82,134 69 215 90 175 115 149 114 82
194,20,Femmina,Faccio il pendolare,"Leggere libri, Leggere fumetti, Guardare serie TV, film o anime",103 86 100,103 86,103 86 
103,20,Femmina,Faccio il pendolare,"Uscire, Guardare serie TV, film o anime",194 86 100 ,194 86 100 ,86
155,20,Maschio,Alloggio a Perugia,"Programmare, Guardare serie TV, film o anime",178 133 180 195,178 133 180 195 160 117,133 160 117
163,20,Maschio,Faccio il pendolare,"Giocare ai Videgames, Uscire",,,
134,19,Maschio,Alloggio a Perugia,"Giocare ai Videgames, Leggere fumetti, Guardare serie TV, film o anime",69 90 215 185 83 212 175 115 149 114 82,69 90 215 185 83 212 175 115 149 114 82,69 90 215 185 83 212 175 115 149 114 82
